,rank,name,club,id,basic-elo-ranking
0,1,Philipp Lisenko,P&S Denzlingen,231558,1695.0796302747456
1,2,Michael Kohl,PBV Schwetzingen 2,102470,1674.9323123930383
2,3,Dennis Laszkowski,PBV Schwetzingen 2,248020,1666.3573778238842
3,4,Thierry Kalb,PBC Offenburg 2,102179,1654.2883591559598
4,5,Nicolas Kalb,PBC Offenburg 2,102178,1634.2152671255546
5,6,Frank Wagenmann,PBC Offenburg,104825,1632.4325074685612
6,7,Vladislav Hebel,P&S Denzlingen,101723,1611.6454409834168
7,8,Manuel Suden,BSV Weinheim,241616,1579.4620283234642
8,9,Carsten Isele,P&S Denzlingen,102067,1577.9206968781461
9,10,Thimo Hugger,PP Karlsbad 2,249707,1573.9488263322978
10,11,Ingo Nassall,PP Karlsbad 2,103289,1570.5297951805485
11,12,Florian Menzel,PBV Schwetzingen 2,103072,1565.11295292672
12,13,Zejko Zoric,P&S Denzlingen,105247,1558.7519994663403
13,14,Markus Rütten,P&S Denzlingen,123146,1530.9007859819098
14,15,Christian Betting,BC Dreiländereck,100338,1517.8754179620182
15,16,"Thomas Vincenzo ""Enzo"" Campo",PP Karlsbad 2,100645,1511.2058437828905
16,17,Jürgen Schroff,PBC Bruchsal,104204,1507.898741250539
17,18,Lionel Heit,PBC Offenburg 2,101773,1505.335713269857
18,19,Nikolaus Deckers,P&S Denzlingen,100780,1502.4808517632
19,20,Oliver Jörger,PBC Offenburg,102135,1498.3827697385675
20,21,Dirk Schäfer,BSV Weinheim,103951,1497.5674244843503
21,22,Stefan Kuhn,BC Dreiländereck,102657,1492.85751016644
22,23,Udo Träutlein,BSV Weinheim,104658,1490.713007151465
23,24,Willi Ludwig,PP Karlsbad 2,102870,1483.417564309882
24,25,Stefano Iacuzzo,BC Dreiländereck,350287,1479.2421665902634
25,26,Zehrudin Vereget,PBV Schwetzingen 2,104752,1477.842918222164
26,27,Daniel Stohler,BC Dreiländereck,104506,1475.4441458770123
27,28,Maximilien Koch,PBC Offenburg 2,102461,1474.9143284955276
28,29,Mathias Hornbach,P&S Denzlingen,101989,1474.1257499173355
29,30,Marius Sutor,PBC Offenburg,104564,1473.9358480927467
30,31,Birol Caliskan,PBC Bruchsal,100640,1469.9466137040547
31,32,Daniel Penz,BC Dreiländereck,103493,1466.2870744161046
32,33,Florian Stojanoski,PBV Schwetzingen 2,104507,1465.7166832401315
33,34,Timo Heim,PBC Offenburg 2,101750,1465.0073868860104
34,35,Uwe Lang,P&S Denzlingen,102719,1464.5568975467284
35,36,Hendrik Snijder,BSV Weinheim,104382,1462.4120134610555
36,37,Pascal Alix,PBC Offenburg 2,100056,1461.104742286214
37,38,Timm Urschinger,BC Dreiländereck,104725,1452.4520791756995
38,39,Gabriel Correia,PBC Offenburg 2,248624,1448.882854031203
39,40,Holger Vier,PBC Bruchsal,163386,1447.9960490836588
40,41,Daniel Jimenez,PBC Offenburg,102117,1436.9969124932036
41,42,Daniel Kimmig,PBC Offenburg,242902,1428.6475671217133
42,43,Marc Proissl,BSV Weinheim,103573,1421.681901089956
43,44,Tobias Kessler,PP Karlsbad 2,102317,1413.7204209131983
44,45,Dieter Neumann,BSV Weinheim,103325,1412.3763668446304
45,46,Michael Heneka,PBC Bruchsal,101803,1400.3489554253986
46,47,Bülent Acar,PBC Bruchsal,100009,1389.6930037284346
47,48,Timo Weis,BC Dreiländereck,104946,1388.6136287411987
48,49,Maxime Martin,PBC Offenburg 2,102989,1360.996244522742
49,50,Steffen Adler,BSV Weinheim,100021,1353.7446238998177
